y_test,y_stacking,y_linear,y_knn,y_rf
6.7,6.407686613698836,6.187891440767938,6.035263944160098,6.367716697972448
5.4,6.19771277037623,5.696010525947426,5.940786128125507,6.289282817838118
7.2,6.399271027778004,5.979822082543462,6.530939251902012,6.324704181088433
7.2,5.816762297871181,5.9106110019608185,5.663601214117462,5.961384100122468
4.5,5.191785767718369,5.122319907999617,5.821064758820631,5.541695484387783
7.9,5.953803718611901,5.416724100324649,6.851802767407592,5.978372062462364
7.1,6.398211758505426,6.759819846482422,6.7376084309774695,6.143802863403598
6.1,5.462162685999712,5.237645098668561,5.7453274976654045,5.762853222671179
6.2,5.913161365598429,5.647164223468423,5.399705973803843,6.144153941715042
5.3,5.8349879081811,5.533846305288692,5.501802610488282,6.078735544473027
7.1,7.1069957313106995,6.952675306874662,7.063191516369262,6.662114574066395
6.7,6.2717823532317345,6.643674733391739,5.890373206126359,6.192874768866357
5.0,5.3158291289140305,5.375883809260709,5.151942983330495,5.715175492146874
6.6,6.478255088281715,6.754594470637913,6.3248591493096695,6.282528014803388
7.2,7.3270699675297735,6.843495682496002,6.900299190325037,6.905802860608092
6.4,5.927997076709524,5.974321930770096,5.882129464210421,6.016219728633669
6.3,6.414229929748984,6.214600979754076,6.628350792856208,6.274925102947154
7.0,6.101565092175455,5.79052481726845,4.462396123803193,6.435887290350478
3.3,5.809910080180912,6.399401648202843,5.890821384062631,5.834766051833323
4.3,5.227902861687255,5.382976386541769,5.771630838870671,5.532685695147299
7.5,7.24033152474507,6.68045748881917,6.096195411283215,6.985265031562789
5.0,5.797174318177509,5.5617345558689895,5.494381214057381,6.0397331036250685
6.7,6.911663070406942,6.327090121550519,6.879077452165355,6.642062005956652
5.7,5.342386588154982,5.197252027480853,5.566186592163542,5.706402605403512
4.6,5.78691839519162,6.511538170959239,4.738041442462251,5.982825032892784
6.5,6.4996818442673945,6.840389388214246,6.258769122156426,6.293106503508417
6.0,6.168366552167885,5.6580184203616595,6.735115017373449,6.137425797498828
5.7,6.133796263656045,5.882959986235672,5.924049249017124,6.204385540214475
7.4,6.110601712799127,6.416330808704412,5.875536355379383,6.091783247558038
6.6,6.088878903313,6.046997254090936,5.267359664710267,6.246352790482332
6.0,6.62282900993411,6.794540146528139,6.291496067345743,6.400354419776849
6.7,7.25994268946236,7.121372329599806,7.1288193394620265,6.75851148277699
6.4,5.64571948517105,6.017295565681362,5.762819777770679,5.782128917425152
6.1,5.433012974752464,5.06224454678449,5.789473619974122,5.7678992869841155
4.1,4.949017745762478,5.6544495629090745,5.767354561306006,5.248477947032682
5.3,5.28492610690607,5.963631131403071,6.250563335085232,5.399195726295806
5.5,5.774729917863011,6.0479672614748,5.699379164923802,5.904865097365876
5.6,6.1661836789664575,7.011242750858197,5.601703182593168,6.082866298155176
6.8,6.446728547277553,7.070091822071552,6.2138727381652386,6.207766425684265
4.7,5.615026007978734,6.010876584926167,5.78907698541658,5.755414198127063
6.4,5.7385323450460355,5.85157222256132,5.661522703133291,5.912244049132133
7.5,6.769473165625264,6.342846607924585,6.108625614293521,6.652945182219378
7.4,6.802327848148682,6.350724661119547,6.246773185300449,6.642315195213859
7.8,7.798338311715503,7.872885743914449,7.552111523737664,7.018496020952718
6.6,7.053638458895687,6.4687940825637025,7.065429400919228,6.7079163497183085
4.8,5.615359829253867,5.3653768168530656,5.141387577296234,5.975959895445778
7.7,7.598129704314289,7.590266805150782,7.438149195954111,6.911685305457687
4.4,5.437181920016574,6.204917656052314,5.567938212443586,5.599391375540149
6.0,5.569722634346457,5.937987383348397,6.399895185618839,5.634839517063742
7.5,8.081093982784337,7.950218750362287,7.607473631406405,7.237220897120644
7.1,6.004641932880013,5.750674267309168,5.20324425611252,6.236087536738569
7.2,6.198936803882382,6.132484293198464,6.582220653432273,6.105584164904534
5.9,7.155202635810178,6.564212330656701,6.561872481529993,6.860550883715328
5.7,5.705463886539666,5.202914888939075,5.678262234817118,6.001976656443726
4.7,5.30069363060807,5.385669094262155,5.895540588748005,5.57557423872158
6.7,6.553633887807764,6.3875085190898035,6.59276933677784,6.3645876520690425
6.5,6.863660729105799,6.943497683079543,6.968462533443391,6.472621866159678
7.1,7.094882043133973,7.000762971989163,7.155714087678443,6.628143791906285
7.0,7.430729315049202,7.342515162353548,7.293900914983978,6.836565645725653
3.0,5.452829803023862,5.604995318681729,5.827704731823993,5.690944948087409
4.4,4.92079085863231,5.017477113663722,5.132828888462075,5.442750833248797
5.5,5.619301818847325,5.228061827294645,5.958617045097302,5.877602019963713
6.4,6.034444122347367,5.538014206458078,6.050484588701721,6.161637366541219
5.3,5.482098139070492,5.5525895421932265,5.701112231182434,5.74192258711631
6.6,6.035023718154456,5.378977774553776,6.275292098610103,6.1503660569569805
7.3,6.661668915387484,5.775773034895368,6.355241577463818,6.616079907039308
7.1,6.834830522855654,7.04967672378233,6.697732002901194,6.472092986047976
5.4,6.426178673506512,6.67762384323662,6.334972396634328,6.241358877032587
7.8,7.550664584806879,7.290015716572165,7.849368114513921,6.856744934723512
4.8,4.620825944450395,5.3821776317753125,5.308528230602424,5.083961129374519
5.6,6.341029584899895,5.929850362087483,5.790181457439468,6.386427852469216
7.3,6.618457502749828,6.960056820248313,6.311171422705045,6.368109690558862
5.8,5.346277353213556,5.5843870579775565,6.072407737533161,5.554805191089388
7.7,6.967173858915144,6.522962840502205,6.697328169397884,6.685825984973693
7.6,7.742282069006356,7.638802519146882,7.435897225232977,7.028553472671113
8.0,7.217463923502079,6.738662304496521,7.422318682915294,6.746137312664043
8.4,5.74276961803198,5.938458537450432,5.901105279705667,5.869573248061617
7.5,7.381638770176406,7.073748554664209,7.225922723831599,6.852057973318347
8.0,7.009463034379658,6.247155844341281,6.040934570178354,6.885713932173812
4.6,5.332313771877728,5.489469336466583,5.674295308836084,5.622581548639911
6.5,6.3180849419193,6.5412890713556,6.271667518738675,6.1933866282068815
8.2,6.97885618720963,7.183912906193683,7.242291254471554,6.481929914571221
7.0,6.587691444625183,6.877449186084402,6.373618996042929,6.342122922718615
6.8,6.832699181848707,6.697381742206143,6.088948610374902,6.631402836338566
4.8,5.66660921435509,5.518568296614106,5.8811246896522915,5.8682132118678005
4.6,5.344159945502285,5.399810198291631,5.004426575343818,5.766128258369498
4.6,4.374572536830225,5.184470660220781,5.222777025283393,4.923723715638457
7.9,7.845789959158314,7.455962314607021,7.348822931287963,7.163839930235851
4.1,4.919058750917042,5.0262450457250685,6.1393527383592765,5.272824272024304
6.9,7.45617697559727,7.013651564975751,6.925919386531664,6.978511214197027
6.6,7.386896623762583,6.9074725244487345,6.9164853417826215,6.9390107473389655
6.4,6.9546940922938,7.402107398824658,7.176423156214453,6.434295740826077
6.0,5.886608741832352,5.438364511965491,6.878024392693099,5.916434805895007
6.1,6.430353266385325,6.336498008832314,6.472544600587537,6.2917790504188496
4.2,4.589207716452691,5.292564735193203,5.961658182063402,4.970331886414344
4.7,5.512294222838582,5.9445768822401845,5.424818708610843,5.7363589454702515
6.8,6.915995748843983,6.996890775781533,6.019491639628035,6.657905421414563
7.5,6.709163249044059,5.8465226539561845,6.433832288164202,6.62800000154456
7.2,7.700774167875477,7.24952500078895,7.348035127251764,7.076045242086727
7.7,6.926526177834535,6.990078773788806,6.964222698622834,6.52189741387352
5.6,5.74795497551872,6.3843207084438145,6.021801866673219,5.768213941048372
6.9,5.742001847541022,6.353497932981146,5.245597196484152,5.895774908462281
6.4,6.05658371247602,5.786303044137001,6.17307021701224,6.114704723332864
5.4,5.7167190362572375,5.274877297602183,5.991398664996586,5.941831589513679
6.5,7.028665421521128,7.194361995308052,6.797429280137256,6.5959462795552914
4.9,5.3253284998285935,5.565252591978318,5.9848203315832516,5.553875523371187
7.6,7.347610709856156,6.92409775360684,6.926654871496699,6.900733141703963
7.4,7.041049719985918,7.151479368539193,6.734405826704956,6.627880084334508
6.9,6.423065870213274,6.992984338211562,6.47983313667525,6.1583267664317205
7.2,6.705390858087575,6.787756116919104,6.348060423017777,6.461176812761586
3.9,4.6548024947604425,5.336149078855359,5.491448925279439,5.095978314871706
6.1,6.78546257721292,7.228855251646199,7.132429635663768,6.3220712092603675
6.1,6.068301542680919,5.891957657895007,6.043423919070316,6.127607475944404
3.6,5.726628207126524,5.894868843319937,5.759016315628131,5.873115164577221
7.9,6.109406638663049,6.690743269775038,6.326279813351665,5.969762187993566
7.3,7.6595327242821964,7.4544913732934015,6.981478306266909,7.06429531943195
6.7,6.105816099053267,6.180528520265567,6.411269059555633,6.0451249069577555
4.9,4.949661597142863,5.629298044974962,5.007487532645475,5.367154134010113
6.6,6.813099571289802,6.489445684638924,7.139593277856058,6.48117350832436
8.2,5.869239199112301,6.820038494765871,4.9997136446484705,5.959699642203885
6.4,6.98810486072648,6.9978572181558825,6.736608945237857,6.611806111375148
3.4,4.254018376474863,5.105716780348548,4.839764657815444,4.897807595238058
4.6,5.58491807630749,5.597266827627937,5.7768018136663715,5.804310845101112
6.5,6.115050787801505,5.851400347995509,5.615981514838174,6.241341230319847
